Date,Function,Robot ID,ID in the Route,Address,Packages,Success,Soft help from Field Operator,Field Operator physically intervened,Autonomous Return,Order placement,Robot health,Connectivity,Cluttered environment,Gated environment,Payload addressability,Too risky to try,Did the parcel drop on the first package,Operator Comments
11/11/2025,Commercial,512,15,"1800 Romeria Dr Austin, TX 78757",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,16,"1909 Palo Duro Rd Austin, TX 78757",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,17,"5611B Clay Ave Austin, TX 78756",1,Missing,N/A,N/A,Not used,N/A,No faults,N/A,N/A,No gates,N/A,N/A,,Missing Package
11/11/2025,Commercial,512,18,"5600 Shoalwood Ave Austin, TX 78756",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,19,"5614 Shoalwood Ave Austin, TX 78756",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,20,"5608 Bull Creek Rd Austin, TX 78756",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,21,"5800 Woodview Ave Austin, TX 78756",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,22,"5904 Bull Creek Rd Austin, TX 78757",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,23,"5909 Bull Creek Rd Austin, TX 78757",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,24,"5816 Trailridge Dr Austin, TX 78731",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,25,"5803 Westslope Dr Austin, TX 78731",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,26,"5805 Lakeview Cir Austin, TX 78731",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,27,"4700 Hickory Holw Austin, TX 78731",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,28,"6031 Mount Bonnell Cv Austin, TX 78731",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,29,"5905 Mesa Dr Austin, TX 78731",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,30,"6100 BON TERRA DR Austin, TX 78731",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,31,"5001 W Frances Pl Austin, TX 78731",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,32,"5005 Westfield Dr Austin, TX 78731",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,33,"4705 Finley Dr Austin, TX 78731",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,34,"4910 Shoal Creek Blvd Austin, TX 78756",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,35,"4102 Sinclair Ave Austin, TX 78756",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,36,"4502 Sinclair Ave Austin, TX 78756",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,37,"4509 CAPTAIN ST Austin, TX 78731",1,Missing,N/A,N/A,Not used,N/A,No faults,N/A,N/A,No gates,N/A,N/A,,Missing Package
11/11/2025,Commercial,512,38,"4512 Freedom Dr Austin, TX 78731",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,39,"4107 Manifest Ln Austin, TX 78731",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,40,"4022 Emory Peak Pass Austin, TX 78731",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,41,"3900 EMORY PEAK PASS Austin, TX 78731",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,42,"1717 W 30th St Austin, TX 78703",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,43,"1800 W 29th St Austin, TX 78703",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,44,"1109 Gaston Ave Austin, TX 78703",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,45,"1901 David St Austin, TX 78705",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,46,"1706 San Gabriel St Austin, TX 78701",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,47,"2400 Seton Ave Austin, TX 78705",1,Missing,N/A,N/A,Not used,N/A,No faults,N/A,N/A,No gates,N/A,N/A,,Missing Package
11/11/2025,Commercial,512,48,"3110 West Ave Austin, TX 78705",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,49,"4115 Avenue C Austin, TX 78751",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,50,"4607 Avenue H Austin, TX 78751",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,51,"4601 Caswell Ave Austin, TX 78751",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,52,"608 E 49th St Austin, TX 78751",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,53,"4833 Red River St Austin, TX 78751",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,54,"5313 Avenue H Austin, TX 78751",1,No,No help needed,Needed help,Not used,Good placement,No faults,Bad connection,Robot fits,No gates,Order was delivered,Not risky,1st try,Bad connection. needed assist from field ops to deliver and entervan.
11/11/2025,Commercial,512,55,"1407 Glenwood Dr Austin, TX 78723",1,No,N/A,Needed help,Not used,N/A,No faults,N/A,N/A,No gates,N/A,N/A,,"Computer issues, had to hand deliver while restarting."
11/11/2025,Commercial,512,56,"1408 Berkshire Dr Austin, TX 78723",1,No,N/A,Needed help,Not used,N/A,No faults,N/A,N/A,No gates,N/A,N/A,,"Computer issues, had to hand deliver while restarting."
11/11/2025,Commercial,512,57,"6801 Columbia Dr Austin, TX 78723",1,No,N/A,Needed help,Not used,N/A,No faults,N/A,N/A,No gates,N/A,N/A,,"Computer issues, had to hand deliver while restarting."
